UI fieldname Plytix (displayed in UI),System fieldname (Plytix calls it label),Field type Plytix,Formula
Sales Meeting Name,sales_meeting_name,Short Text,
Product Number,product_number,Short Text,
Product Name,product_name,Short Text,
Product Brand,product_brand,Dropdown,
Marketing Concept,marketing_concept,Short Text,
Collection,collection,Short Text,
Season Name,season_name,Short Text,
Product Status,product_status,Dropdown,
FEDAS Code,fedas_code,Short Text,
FEDAS 1 - Product Type,fedas_1_product_type,Dropdown,
FEDAS 2 - Activity,fedas_2_activity,Short Text,
FEDAS 3 - Product Maingroup,fedas_3_product_maingroup,Short Text,
FEDAS 4 - Product Subgroup,fedas_4_product_subgroup,Short Text,
FEDAS Gender,fedas_gender,Dropdown,
FEDAS Age,fedas_age,Dropdown,
Supplier,supplier,Short Text,
Supplier Name,supplier_name,Short Text,
PLM Name,plm_name,Dropdown,
PIM Brick,pim_brick,Dropdown,
Texter Description,texter_description,Short Text,
Technologies,technologies,Multiselect,
Features,features,Paragraph,
(Handle) Strap,handle_strap,Short Text,
100% UV protection,100_uv_protection,Dropdown,
ABEC,abec,Short Text,
Accessories Benefits,accessories_benefits,Short Text,
Accessories Included,accessories_included,Short Text,
Adjustable,adjustable,Dropdown,
Adjustable size,adjustable_size,Dropdown,
Adjustable strap,adjustable_strap,Dropdown,
Adjustable buoyency,adjustable_buoyency,Dropdown,
Adjustable length,adjustable_length,Dropdown,
Adjustable nose part,adjustable_nose_part,Dropdown,
Adjustable Outer Shell,adjustable_outer_shell,Dropdown,
Adjustable size,adjustable_size,Dropdown,
Adjustable strap,adjustable_strap,Dropdown,
Ankle sock,ankle_sock,Dropdown,
Ankle strap,ankle_strap,Dropdown,
Anti Burst,anti_burst,Dropdown,
Anti fog,anti_fog,Dropdown,
Anti shock,anti_shock,Dropdown,
Arch type,arch_type,Dropdown,
Back padding,back_padding,Short Text,
Bag Type,bag_type,Dropdown,
Balance point (mm),balance_point_mm,Short Text,
Base,base,Short Text,
Basket,basket,Multiselect,
Battery,battery,Short Text,
Bladder,bladder,Short Text,
Blade material,blade_material,Short Text,
Board shape,board_shape,Dropdown,
BOO Lining Material,boo_lining_material,Dropdown,
Bottom compartment,bottom_compartment,Dropdown,
Bottom enforcement,bottom_enforcement,Dropdown,
Bottom material,bottom_material,Short Text,
Bottom Material (D),bottom_material_d,Short Text,
Bottoms construction,bottoms_construction,Short Text,
Bottom width (cm),bottom_width_cm,Short Text,
Brake Size,brake_size,Short Text,
Branches,branches,Short Text,
Breathability Membrane,breathability_membrane,Dropdown,
Breathability Membrane Bottom,breathability_membrane_bottom,Dropdown,
Breathability Membrane Top,breathability_membrane_top,Dropdown,
Brim,brim,Short Text,
Buckle material,buckle_material,Dropdown,
Buckles,buckles,Dropdown,
Bungee cord,bungee_cord,Dropdown,
Capacity (ml),capacity_ml,Dropdown,
Capacity (l),capacity_l,Dropdown,
Carry handle,carry_handle,Dropdown,
Centerline,centerline,Short Text,
Certification,certification,Short Text,
Certifications,certifications,Short Text,
Circumference (cm),circumference_cm,Dropdown,
Closing,closing,Short Text,
Closure style,closure_style,Dropdown,
Comfort temperature (degree celsius),comfort_temperature_degree_celsius,Short Text,
Compact clipping system,compact_clipping_system,Dropdown,
Compartments,compartments,Short Text,
Component Table,component_table,Short Text,
Concave,concave,Short Text,
Construction,construction,Short Text,
Construction classification,construction_classification,Dropdown,
Control,control,Paragraph,
Core,core,Short Text,
Cut,cut,Dropdown,
Deck size (W x L in mm),deck_size_w_x_l_in_mm,Short Text,
Deck layers (PLY),deck_layers_ply,Dropdown,
Deck Size mm,deck_size_mm,Dropdown,
Deck thickness (mm),deck_thickness_mm,Dropdown,
Density,density,Short Text,
Design/Structure,designstructure,Short Text,
Diameter,diameter,Short Text,
Diameter (cm),diameter_cm,Short Text,
Diameter (mm) part 1,diameter_mm_part_1,Short Text,
Diameter (mm) part 2,diameter_mm_part_2,Short Text,
Diameter (cm),diameter_cm,Short Text,
Diameter (mm),diameter_mm,Short Text,
